actual_sentiment,negative,neutral,positive
negative,0.7738577212261423,0.16946211683053788,0.05668016194331984
neutral,0.3008849557522124,0.4911504424778761,0.2079646017699115
positive,0.045891682132613465,0.09262696136325291,0.8614813565041336
