rating,reviews,usable_reviews,english_reviews,median_clean_words,rating_derived_titles,usable_share
1,7304,6505,6506,21.0,527,0.8906078860898138
2,3017,2773,2773,24.0,280,0.919124958568114
3,4019,3707,3708,25.0,417,0.9223687484448868
4,5635,5026,5027,26.0,631,0.8919254658385093
5,29932,25019,25031,17.0,3477,0.8358612855806494
