tracer,scale
L,51.727578666666666
h,74.50128270769231
Si,214014.57222222222
Zn,135.60566666666668
Mn,972.3184615384615
K,14411.306923076922
Ti,4912.126153846154
y,0.3839167708888889
C_star,24.639600075555556
