source_label,L,h,Si,Zn,Mn,K,Ti,y,C_star
Subsurface,1.0,0.9677769575323925,0.9574289891942198,0.8381737570783259,0.5766297771315121,0.8439702595583617,0.7698637330022079,1.0,1.0
Decontaminated,0.9084987991784779,1.0,0.9749414479422609,0.9734503569077835,1.0,1.0,1.0,0.9839639859420871,0.7958424780506734
Cropland,0.7322938987878136,0.9999958617055081,1.0,0.9952550327706725,0.732778891513684,0.9228686863640329,0.9694494051316509,0.9664322339878632,0.5802764485733536
Forest,0.5773820649740317,0.9288711719168137,0.8188585704561187,1.0,0.9952075425324931,0.6181700508416674,0.8808996751732969,0.9621191827023243,0.5206316250384228
