model,mixture_type,p50,p95,w50,w95,mae50,mae95,me50,me95,crps,nse50,nse95,csi50,hr50,csi95,hr95
BMM,Laboratory,0.4240506329113924,0.9620253164556962,0.2777824350583253,0.6761226268022323,0.046161977831154694,0.0011985886093777874,-0.03105307409712572,-0.0011985886093777874,0.10301797977424806,0.9005639023983659,0.9992379127747274,0.6222222222222222,0.875,0.28699551569506726,1.0
BMM,Virtual,0.9778481012658228,1.0,0.00012082554622199698,0.0012865921755771624,1.927667141827298e-08,0.0,1.843378691508936e-08,0.0,2.7339699046548407e-05,0.9999999999995597,1.0,0.8421052631578947,1.0,0.8421052631578947,1.0
Bayesian,Laboratory,0.25316455696202533,0.5284810126582279,0.1684808845215076,0.44963562994268347,0.07217096726500634,0.011660049574303857,-0.01291372590658024,-0.005525993040824892,0.10181712054544673,0.8734951663729584,0.9902138145728415,0.7567567567567568,0.875,0.39751552795031053,1.0
Bayesian,Virtual,0.29430379746835444,0.5411392405063291,0.15231702019324592,0.4137077122874722,0.06489747108501827,0.011534389535258194,-0.01325678428041051,-0.006115045144399423,0.09151177855831169,0.8872913550077856,0.9892643965419151,0.8059701492537313,0.84375,0.45714285714285713,1.0
