model,quantile,correlation
BMM,q025,0.17259784627594152
BMM,q25,0.861752396830095
BMM,median,0.8098116348069745
BMM,q75,0.7465182436181954
BMM,q975,0.5706216497586307
Bayesian,q025,0.9214196011951655
Bayesian,q25,0.9252831089714125
Bayesian,median,0.9291299929345589
Bayesian,q75,0.9306928322449559
Bayesian,q975,0.9330310423467743
