prediction_status,count,mean_confidence,median_confidence,minimum_confidence,maximum_confidence
incorrect,276,0.5594128029070039,0.5475317239761353,0.25116604566574097,0.9160550236701965
correct,1155,0.7985433573846693,0.8536127805709839,0.25661417841911316,0.9999332427978516
