epoch,train_loss,validation_loss,validation_roc_auc,validation_average_precision,validation_precision_at_0_5,validation_sensitivity_at_0_5,validation_specificity_at_0_5,validation_f1_at_0_5,learning_rate,epoch_seconds
1,0.9541050623650901,0.8888770747153091,0.7776764858282095,0.4033941654352476,0.35962145110410093,0.7625418060200669,0.6636288318144159,0.4887459807073955,0.001,236.08349339989945
2,0.8992074664957271,0.8385055920042365,0.7951137871890006,0.4815529045342202,0.3477633477633478,0.8060200668896321,0.6255178127589064,0.48588709677419356,0.001,237.96152860019356
3,0.851887622704219,0.8291951027682736,0.8214373789461142,0.5032727269821871,0.36257309941520466,0.8294314381270903,0.6387738193869097,0.5045778229908443,0.001,237.06605850020424
4,0.8501604902700104,0.8378313868485916,0.8234268883020729,0.49631312030839786,0.33568075117370894,0.9565217391304348,0.5310687655343828,0.49695916594265854,0.001,231.91271780012175
5,0.8272101317745075,0.7887434309538933,0.8353362353938703,0.5198014387086631,0.38427947598253276,0.882943143812709,0.6495443247721624,0.5354969574036511,0.001,233.3195978999138
6,0.8043996724165978,0.7918281623250143,0.8379325728124403,0.5200232347128803,0.44166666666666665,0.7090301003344481,0.7779618889809445,0.5442875481386393,0.001,235.74922630004585
7,0.7896157219636328,0.7933672739373419,0.8288162973512925,0.48165853338966735,0.4109347442680776,0.7792642140468228,0.7232808616404308,0.5381062355658198,0.001,237.57623529992998
8,0.7920948117928931,0.7411689452757715,0.8543086177897603,0.5492251509359081,0.4444444444444444,0.7625418060200669,0.7638773819386909,0.5615763546798029,0.001,240.8715797998011
9,0.765282724941766,0.7552765470893577,0.847134746309848,0.5149288361003366,0.451271186440678,0.7123745819397993,0.7854183927091963,0.5525291828793775,0.001,239.03700880007818
10,0.7806339056480974,0.7211117487188038,0.857941273452242,0.5457565609205847,0.3907380607814761,0.903010033444816,0.6512013256006628,0.5454545454545454,0.001,240.30898310011253
11,0.7577062728468223,0.7285777842539398,0.8569298933478898,0.539477425638265,0.3921015514809591,0.9297658862876255,0.6429163214581607,0.5515873015873016,0.001,236.18392190011218
12,0.7613539184672832,0.7279087643066092,0.8543598795210768,0.5387591917208704,0.42078364565587734,0.8260869565217391,0.7183098591549296,0.5575620767494357,0.001,2049.9519192003645
