model,total_parameters,trainable_parameters,frozen_parameters,output_shape,pretrained_weights_loaded,initial_trainable_stage
compact_cnn,390695,390695,0,"(32, 7)",False,all
resnet18_staged,11180103,3591,11176512,"(32, 7)",True,head
