model,stage,stage_epoch,epoch,head_learning_rate,backbone_learning_rate,train_loss,train_balanced_accuracy,train_macro_f1,train_melanoma_recall,validation_loss,validation_balanced_accuracy,validation_macro_f1,validation_melanoma_recall,validation_selection_score,epoch_duration_seconds
resnet18_staged,layer4,5,10,0.0001,2e-05,0.18503740126189486,0.6882694796249479,0.6599553136547486,0.5522012578616352,0.2064306622618562,0.6339825564326074,0.6092701652798633,0.4339622641509434,0.5566777949411873,192.91429110011086
resnet18_staged,layer4,6,11,0.0001,2e-05,0.16983716661849435,0.6989304724581897,0.6796357913203629,0.5823899371069182,0.20478868063513217,0.628822819389864,0.6149957501699899,0.4716981132075472,0.572006459081257,195.13088309997693
resnet18_staged,layer4,7,12,0.0001,2e-05,0.15703240382728012,0.7336929959392918,0.7013129295138256,0.6,0.19883405480768296,0.6577945041728109,0.6281426596616407,0.5534591194968553,0.605737597612205,191.36210170015693
resnet18_staged,layer4,8,13,0.0001,2e-05,0.15133924727703826,0.7336149771025362,0.7046778913744955,0.6188679245283019,0.20036980743174787,0.6648104949507917,0.6287283300324559,0.5283018867924528,0.5986003970604549,190.89997470006347
resnet18_staged,layer3_layer4,1,14,5e-05,1e-05,0.1466942729731995,0.7645125200821405,0.734320408296571,0.6037735849056604,0.19742710846704203,0.6751452112972833,0.6504114001651728,0.559748427672956,0.6232125084175077,215.84958310006186
resnet18_staged,layer3_layer4,2,15,5e-05,1e-05,0.14231525943503887,0.757652299773482,0.7377842874860748,0.6289308176100629,0.19675006066168937,0.6792937870370549,0.6572082255215991,0.5408805031446541,0.6223099088085156,216.52822870016098
resnet18_staged,layer3_layer4,3,16,5e-05,1e-05,0.13358686174931791,0.7751125159851521,0.7501152315327533,0.6415094339622641,0.19310010110998488,0.6728043059147006,0.6509371085242064,0.559748427672956,0.6235805042688313,222.78864319995046
resnet18_staged,layer3_layer4,4,17,5e-05,1e-05,0.12224949821767309,0.7868457947303726,0.7578390258789477,0.6427672955974842,0.18912910329295204,0.6936321079660571,0.6756387944275887,0.5408805031446541,0.6352113070427082,227.5416315998882
resnet18_staged,layer3_layer4,5,18,5e-05,1e-05,0.11975347134056856,0.7884127834327807,0.7619982239589803,0.6540880503144654,0.19444155461721488,0.6706212862634363,0.6580561516557967,0.5283018867924528,0.6191298721967935,222.21954370010644
resnet18_staged,layer3_layer4,6,19,2.5e-05,5e-06,0.116031771990751,0.792857590268366,0.770597796148283,0.6628930817610063,0.1958598901550253,0.6764455580669452,0.6693003224388988,0.46540880503144655,0.608132867216663,219.05816139979288
