n_topics,topic,leading_terms
5,0,"does, does not, not, work, not work, stay, not stay, product does"
5,1,"hair, hair not, human, brush, human hair, soft, not, hard"
5,2,"money, waste, waste money, not waste, not, worth, time, not worth"
5,3,"did, did not, not, work, not work, not like, product did, not come"
5,4,"not, product, like, use, good, just, really, used"
