split,test_reviews,test_products,macro_f1
1,8710,4550,0.679683929770374
2,8543,4550,0.6790312961709897
3,8760,4550,0.6834383642944658
4,8656,4550,0.6825119276042223
5,9161,4550,0.682981383290482
