sample,tracer,observed,predicted,residual
mel1,L,0.9750420421766504,0.989535149734444,-0.01449310755779365
mel1,h,0.9698419812916814,0.9690364208257775,0.000805560465903965
mel1,Si,0.9768825450956442,0.9590931247956074,0.01778942030003683
mel1,Zn,0.8690639771690956,0.8443141925118091,0.0247497846572865
mel1,Mn,0.5888502817215632,0.5827337736176191,0.0061165081039440405
mel1,K,0.8766887047397987,0.8470544635379148,0.02963424120188385
mel1,Ti,0.7843894638135703,0.7776657000269696,0.006723763786600778
mel1,y,1.0053778195371117,0.998687808595039,0.006690010942072666
mel1,C_star,1.021185186969098,0.9835926633770449,0.03759252359205312
mel2,L,0.9158713000136819,0.9051482615023085,0.01072303851137335
mel2,h,1.0068443275575314,0.9855708301688959,0.021273497388635487
mel2,Si,0.8719910894956451,0.9573362213535251,-0.08534513185788006
mel2,Zn,0.9381613846029049,0.9399098397838881,-0.0017484551809832105
mel2,Mn,0.8922179659402507,0.8877224190782399,0.004495546862010813
mel2,K,0.9254899691743114,0.9270208265538448,-0.0015308573795334013
mel2,Ti,0.9096366542828704,0.9292820486241421,-0.01964539434127166
mel2,y,0.9905723840078442,0.9863853640027284,0.004187020005115838
mel2,C_star,0.8279193946917194,0.8269105730310975,0.0010088216606218836
mel3,L,0.719815901493063,0.7359861285468127,-0.01617022705374971
mel3,h,0.9977070392416925,0.9934123969860825,0.004294642255609937
mel3,Si,0.9214204339097054,0.9853402584857182,-0.06391982457601275
mel3,Zn,1.0107984671240384,0.9871967665989817,0.023601700525056724
mel3,Mn,0.698587990322892,0.7423928513589201,-0.0438048610360281
mel3,K,0.8614756500758299,0.8978204694888454,-0.03634481941301548
mel3,Ti,0.8993966892606742,0.9527426176829182,-0.05334592842224406
mel3,y,0.9669715942350465,0.9679286429814143,-0.0009570487463678168
mel3,C_star,0.5736220915379984,0.5985963320033879,-0.02497424046538954
mel4,L,0.5639805260940882,0.5773820649740318,-0.013401538879943553
mel4,h,0.9413179509291736,0.9288711719168137,0.01244677901235991
mel4,Si,0.8030088709172271,0.8188585704561187,-0.015849699538891593
mel4,Zn,1.0146331151353065,1.0,0.014633115135306518
mel4,Mn,0.9941804442039408,0.9952075425324931,-0.0010270983285523005
mel4,K,0.6158691954431721,0.6181700508416675,-0.0023008553984954494
mel4,Ti,0.9021042744454696,0.8808996751732969,0.021204599272172664
mel4,y,0.9689363325773012,0.9621191827023243,0.0068171498749768356
mel4,C_star,0.5337084960663062,0.5206316250384229,0.013076871027883352
mel5,L,0.7849597515795829,0.8113406890423809,-0.026380937462798015
mel5,h,0.9981510894485834,0.9748276442567881,0.0233234451917953
mel5,Si,0.8654149017838167,0.9350312666419697,-0.06961636485815292
mel5,Zn,0.9026171472676904,0.9559935315373482,-0.05337638426965785
mel5,Mn,0.8418846626698756,0.8651984488978919,-0.023313786228016276
mel5,K,0.8556531385959284,0.8552112645708486,0.00044187402507978035
mel5,Ti,0.8357887952013259,0.9160571934690847,-0.08026839826775878
mel5,y,0.9800801281194819,0.9786204228564002,0.001459705263081701
mel5,C_star,0.6885744836756429,0.7298706501948957,-0.04129616651925283
mel6,L,0.9537486470788864,0.9758263029286085,-0.0220776558497221
mel6,h,0.9662067218685302,0.9762899612999595,-0.010083239431429303
mel6,Si,1.0196366431226658,0.9620556046806781,0.0575810384419877
mel6,Zn,0.8272515652000777,0.8739124743384821,-0.04666090913840437
