tracer,H_statistic,p_value
L,51.647235206108405,3.5611166521145184e-11
h,45.480099055873666,7.315182132094653e-10
Si,43.60707630397775,1.8289403767966286e-09
C_star,34.421140174379616,1.614378239934381e-07
K,33.01539699736884,3.196677524889573e-07
y,23.563266780168135,3.081334796365136e-05
Mn,13.278328432131218,0.004071781253700066
Zn,12.499099210648495,0.005855115820603073
Ti,9.212895836557806,0.026590230826995444
