actual_sentiment,predicted_sentiment,errors,mean_maximum_model_score,median_words,error_share
positive,neutral,549,0.5857910928469284,28.0,0.35260115606936415
negative,neutral,293,0.580399024885487,26.0,0.18818240205523443
positive,negative,272,0.516614522752882,27.0,0.17469492614001284
neutral,negative,204,0.6118954369612701,25.0,0.13102119460500963
neutral,positive,141,0.6025612606638494,29.0,0.0905587668593449
negative,positive,98,0.5402053764831621,26.5,0.06294155427103404
