rating,reviews,usable_reviews,usable_share,median_clean_words
1,7304,6505,0.8906078860898138,21.0
2,3017,2773,0.919124958568114,24.0
3,4019,3707,0.9223687484448868,25.0
4,5635,5026,0.8919254658385093,26.0
5,29932,25019,0.8358612855806494,17.0
