sentiment,precision,recall,f1,reviews
negative,0.7375964718853363,0.7738577212261423,0.7552921253175275,1729
neutral,0.2834042553191489,0.4911504424778761,0.3594171613599568,678
positive,0.9552853133769879,0.8614813565041336,0.9059616749467707,5927
