table_name,column_order,column_name,data_type,not_null,default_value,primary_key_position
sales_salesorderheader,15,ShipMethodID,INTEGER,True,,0
sales_salesorderheader,16,CreditCardID,INTEGER,False,,0
sales_salesorderheader,17,CreditCardApprovalCode,TEXT,False,,0
sales_salesorderheader,18,CurrencyRateID,INTEGER,False,,0
sales_salesorderheader,19,SubTotal,REAL,True,,0
sales_salesorderheader,20,TaxAmt,REAL,True,,0
sales_salesorderheader,21,Freight,REAL,True,,0
sales_salesorderheader,22,TotalDue,REAL,False,,0
sales_salesorderheader,23,Comment,TEXT,False,,0
sales_salesorderheader,24,rowguid,TEXT,True,,0
sales_salesorderheader,25,ModifiedDate,TEXT,True,,0
sales_salesterritory,0,TerritoryID,INTEGER,True,,1
sales_salesterritory,1,Name,TEXT,True,,0
sales_salesterritory,2,CountryRegionCode,TEXT,True,,0
sales_salesterritory,3,Group,TEXT,True,,0
sales_salesterritory,4,SalesYTD,REAL,True,,0
sales_salesterritory,5,SalesLastYear,REAL,True,,0
sales_salesterritory,6,CostYTD,REAL,True,,0
sales_salesterritory,7,CostLastYear,REAL,True,,0
sales_salesterritory,8,rowguid,TEXT,True,,0
sales_salesterritory,9,ModifiedDate,TEXT,True,,0
sales_specialoffer,0,SpecialOfferID,INTEGER,True,,1
sales_specialoffer,1,Description,TEXT,True,,0
sales_specialoffer,2,DiscountPct,REAL,True,,0
sales_specialoffer,3,Type,TEXT,True,,0
sales_specialoffer,4,Category,TEXT,True,,0
sales_specialoffer,5,StartDate,TEXT,True,,0
sales_specialoffer,6,EndDate,TEXT,True,,0
sales_specialoffer,7,MinQty,INTEGER,True,,0
sales_specialoffer,8,MaxQty,INTEGER,False,,0
sales_specialoffer,9,rowguid,TEXT,True,,0
sales_specialoffer,10,ModifiedDate,TEXT,True,,0
sales_specialofferproduct,0,SpecialOfferID,INTEGER,True,,1
sales_specialofferproduct,1,ProductID,INTEGER,True,,2
sales_specialofferproduct,2,rowguid,TEXT,True,,0
sales_specialofferproduct,3,ModifiedDate,TEXT,True,,0
sales_store,0,BusinessEntityID,INTEGER,True,,1
sales_store,1,Name,TEXT,True,,0
sales_store,2,SalesPersonID,INTEGER,False,,0
sales_store,3,Demographics,TEXT,False,,0
sales_store,4,rowguid,TEXT,True,,0
sales_store,5,ModifiedDate,TEXT,True,,0
