metric,count,mean,std,min,25%,50%,75%,max,mae_component
actual_clv,1862.0,21846.3794,33048.1528,-155791.0246,3174.2851,10001.9081,21107.9781,93380.9236,25205.328
predicted_clv,1862.0,21824.3324,32990.8915,-166223.089,3174.2851,10001.9081,21533.3847,93380.9236,25179.4058
residual,1862.0,22.047,2021.7346,-34459.3374,-0.0,0.0,0.0,26813.9508,349.7016
