sample,L,h,Si,Zn,Mn,K,Ti,y,C_star
mel1,3.9207163870475417,4.280194216150033,12.25041053205216,4.76941262938214,6.350100067859349,9.444165076137011,8.256612535373131,-0.9519660816620212,3.2253188085997246
mel2,3.8581116494324696,4.317637354266026,12.136823312588366,4.845917871250658,6.765638566310301,9.498336395140281,8.404752112070488,-0.966801829625693,3.0155154290919697
mel3,3.6172312837426506,4.308520749171917,12.191960536479575,4.920491744243289,6.520989248306457,9.426659892464697,8.39343106657786,-0.9909156514683374,2.648570431234288
mel4,3.3732555194981386,4.250342032538673,12.054409868305095,4.924278248439725,6.87384683073095,9.091047697388145,8.396436990280437,-0.9888858658678882,2.5764494312446855
mel5,3.703868241392981,4.308965720893939,12.129253154375373,4.807294370078226,6.707571131802838,9.419878183563377,8.320082817148844,-0.9774504396360437,2.8312231237044374
mel6,3.8986359608677885,4.276438872919839,12.293245717779755,4.7201047240801906,6.533512637002681,9.479570244893623,8.339085145305452,-0.9538777769900364,3.2004215925667507
mel8,3.8886548064896997,4.286298730534894,12.301927676875936,4.8026266303663165,6.630907634902959,9.538251783362586,8.441199442302302,-0.9570762036238748,3.155000997677069
mel10,3.8867843908207984,4.304500833390759,12.260799438708752,4.7733082982655715,6.727755025876859,9.50868341380686,8.41184823119298,-0.9618106192326764,3.0919524691682985
mel12,3.858217312767393,4.309803480365267,12.279320783846993,4.852420812645534,6.868608963061313,9.612247156754261,8.494249997699937,-0.9626333275346167,3.059595398225208
mel13,3.821266291484919,4.320951910725116,12.294739900796339,4.790487251761845,6.870530971683866,9.5938209140903,8.518056818383089,-0.9693253546522487,2.96584306853546
mel15,3.751780024933615,4.325003884307699,12.19595968145294,4.866456947080341,6.7357681376872405,9.51876433635933,8.427933470613022,-0.9753829829018954,2.8627529250964723
mel17,3.7020724179851188,4.321156285692437,12.237172492761411,4.945207488773801,6.694227844261889,9.513309745907604,8.429685691377918,-0.986105443657919,2.7366942284304328
mel19,3.6349397521293976,4.317424244430056,12.238498692517338,4.870606649492553,6.6704113782667855,9.512054039540901,8.447718775433914,-0.9872720942779449,2.6853756119488117
mel20,3.8834759451190823,4.289816741236384,12.176227167200967,4.745975062579112,6.314435333680597,9.353596203605598,8.241977094808918,-0.9563080788559208,3.153085256246199
mel22,3.7955699241152883,4.300338315359349,12.243334229303668,4.865224091322398,6.436743141362745,9.453215959859811,8.369827110724456,-0.967244686475543,2.9912679457552827
mel24,3.723456887321894,4.310353402710215,12.270541633000336,4.851248708584797,6.543206560938828,9.4626208889986,8.407784492911842,-0.9770897124839509,2.845942786883783
mel26,3.647039423080731,4.312177614430081,12.300505622522769,4.866071842904903,6.591605142550831,9.511653123197599,8.46776552408484,-0.98590213300399,2.712300550887853
mel27,3.4459985435047944,4.269913343176505,12.093986787593186,4.884618453512769,6.862548686144057,9.151745750813474,8.440230070277947,-0.9929396190354052,2.5601458088727616
mel29,3.4874397776449966,4.286368760368329,12.145341268015553,4.888015580548345,6.79152478750509,9.310674275359718,8.429100502747067,-0.9905963266308603,2.591108475445301
mel31,3.5371939610487027,4.2956665038501525,12.205140711414442,4.92391478389169,6.725369720140095,9.389528691972965,8.441080750117397,-0.9925654508832042,2.5937237288913755
