tracer,scale
L,3.9395979694027705
h,4.310717348982809
Si,12.27112332059287
Zn,4.90204952778087
Mn,6.847337191286808
K,9.558493256805942
Ti,8.494570532611046
y,0.9961763407909695
C_star,3.1985269550459217
