source_label,mae,rmse,mean_error
Subsurface,0.07683168407258363,0.10368282319696691,-0.06012964885434135
Decontaminated,0.12337598285646317,0.1517189336746187,0.11057851105410228
Cropland,0.06930611881274462,0.09745373056131779,-0.05322548421442774
Forest,0.04776282125945323,0.06250446986387707,0.002776622014666844
