rho_prime,y_prime,grid_convergence,transformed_potential
2.1,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.47619047619047616
2.1333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.46875
2.1666666666666665,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.46153846153846156
2.2,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.45454545454545453
2.2333333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.44776119402985076
2.2666666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4411764705882353
2.3,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4347826086956522
2.3333333333333335,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.42857142857142855
2.3666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4225352112676056
2.4,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4166666666666667
2.433333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4109589041095891
2.466666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4054054054054054
2.5,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.4
2.533333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.39473684210526316
2.5666666666666664,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.38961038961038963
2.6,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3846153846153846
2.6333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.379746835443038
2.6666666666666665,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.375
2.7,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.37037037037037035
2.7333333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.36585365853658536
2.7666666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3614457831325301
2.8,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.35714285714285715
2.8333333333333335,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3529411764705882
2.8666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3488372093023256
2.9,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3448275862068966
2.933333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.34090909090909094
2.966666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.33707865168539325
3.0,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3333333333333333
3.033333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.32967032967032966
3.0666666666666664,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.32608695652173914
3.1,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3225806451612903
3.1333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3191489361702128
3.1666666666666665,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.31578947368421056
3.2,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3125
3.2333333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.30927835051546393
3.2666666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.30612244897959184
3.3,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.30303030303030304
3.3333333333333335,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.3
3.3666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.297029702970297
3.4,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.29411764705882354
3.433333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.29126213592233013
3.466666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.28846153846153844
3.5,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2857142857142857
3.533333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2830188679245283
3.5666666666666664,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.28037383177570097
3.6,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2777777777777778
3.6333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.27522935779816515
3.6666666666666665,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.27272727272727276
3.6999999999999997,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2702702702702703
3.7333333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.26785714285714285
3.7666666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.26548672566371684
3.8,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2631578947368421
3.8333333333333335,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2608695652173913
3.8666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.25862068965517243
3.9,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.25641025641025644
3.933333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2542372881355932
3.966666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.25210084033613445
4.0,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.25
4.033333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.24793388429752067
4.066666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.24590163934426232
4.1,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.24390243902439027
4.133333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.24193548387096778
4.166666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.24
4.2,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.23809523809523808
4.233333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.23622047244094488
4.266666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.234375
4.3,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.23255813953488372
4.333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.23076923076923078
4.366666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.22900763358778628
4.4,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.22727272727272727
4.433333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.22556390977443608
4.466666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.22388059701492538
4.5,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2222222222222222
4.533333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.22058823529411764
4.566666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.21897810218978103
4.6,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2173913043478261
4.633333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.21582733812949642
4.666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.21428571428571427
4.7,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2127659574468085
4.733333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2112676056338028
4.766666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2097902097902098
4.8,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.20833333333333334
4.833333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.20689655172413796
4.866666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.20547945205479454
4.9,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2040816326530612
4.933333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2027027027027027
4.966666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.20134228187919462
5.0,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.2
5.033333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.19867549668874174
5.066666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.19736842105263158
5.1,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.19607843137254904
5.133333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.19480519480519481
5.166666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1935483870967742
5.2,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1923076923076923
5.233333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.19108280254777069
5.266666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.189873417721519
5.3,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18867924528301888
5.333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1875
5.366666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1863354037267081
5.4,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18518518518518517
5.433333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18404907975460122
5.466666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18292682926829268
5.5,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18181818181818182
5.533333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.18072289156626506
5.566666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17964071856287425
5.6,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17857142857142858
5.633333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1775147928994083
5.666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1764705882352941
5.7,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17543859649122806
5.733333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1744186046511628
5.766666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17341040462427745
5.8,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1724137931034483
5.833333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17142857142857143
5.866666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.17045454545454547
5.9,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1694915254237288
5.933333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16853932584269662
5.966666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16759776536312848
6.0,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16666666666666666
6.033333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16574585635359115
6.066666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16483516483516483
6.1,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1639344262295082
6.133333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16304347826086957
6.166666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16216216216216214
6.2,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16129032258064516
6.233333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.16042780748663102
6.266666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.1595744680851064
6.3,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15873015873015872
6.333333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15789473684210528
6.366666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15706806282722513
6.4,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15625
6.433333333333334,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15544041450777202
6.466666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15463917525773196
6.5,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15384615384615385
6.533333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15306122448979592
6.566666666666666,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15228426395939088
6.6,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15151515151515152
6.633333333333333,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15075376884422112
6.666666666666667,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.15
6.7,0.0,output-sphere-conducting-plane\results\grid-convergence.csv,0.14925373134328357
