decile,customers,churners,min_probability,max_probability,customer_share,churn_rate,lift,cumulative_customers,cumulative_churners,cumulative_customer_share,cumulative_gain,cumulative_lift
1,187,20,0.0024273452956424216,0.9996677179825842,0.1004296455424275,0.10695187165775401,9.957219251336898,187,20,0.1004296455424275,1.0,9.957219251336898
2,186,0,0.0,0.0024273452956424216,0.09989258861439312,0.0,0.0,373,20,0.20032223415682063,1.0,4.991957104557641
3,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,559,20,0.30021482277121375,1.0,3.330948121645796
4,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,745,20,0.40010741138560685,1.0,2.499328859060403
5,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,931,20,0.5,1.0,2.0
6,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,1117,20,0.5998925886143931,1.0,1.666965085049239
7,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,1303,20,0.6997851772287863,1.0,1.4290099769762086
8,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,1489,20,0.7996777658431794,1.0,1.2505036937541973
9,186,0,0.0,0.0,0.09989258861439312,0.0,0.0,1675,20,0.8995703544575725,1.0,1.1116417910447762
10,187,0,0.0,0.0,0.1004296455424275,0.0,0.0,1862,20,1.0,1.0,1.0
