customers,recency,frequency,monetary
2767,87.12,3.05,28042.23
2832,263.95,2.27,8903.23
434,845.57,1.01,2852.05
1724,87.29,1.0,1397.58
2046,274.7,1.0,1352.75
791,35.7,3.2,169.96
1075,169.31,2.23,115.39
4987,244.87,1.0,49.33
2463,63.88,1.0,48.78
