sample,tracer,observed,predicted,residual
mel1,L,0.9952072311687958,0.9978607873890073,-0.0026535562202114615
mel1,h,0.9929192451367801,0.9928653007897544,5.3944347025658423e-05
mel1,Si,0.9983120707045661,0.9966253445150346,0.0016867261895314734
mel1,Zn,0.9729425625655043,0.9667543602000159,0.006188202365488338
mel1,Mn,0.9273824101929448,0.9238674861080092,0.003514924084935589
mel1,K,0.9880391001387666,0.9820196951883474,0.006019404950419194
mel1,Ti,0.9719870479238022,0.9580164756090037,0.01397057231479848
mel1,y,-0.9556200470552783,-0.9624540531455925,0.00683400609031426
mel1,C_star,1.0083763100734657,0.9933668208879057,0.015009489185559999
mel2,L,0.9793160823507445,0.9798911201610978,-0.0005750378103532849
mel2,h,1.0016053024874965,0.9982928128632317,0.0033124896242647806
mel2,Si,0.9890556060357466,0.9977154244543939,-0.00865981841864727
mel2,Zn,0.9885493493666061,0.986982303742038,0.0015670456245681086
mel2,Mn,0.9880685553092861,0.9823918980554016,0.005676657253884443
mel2,K,0.9937064493273742,0.9958414739782836,-0.002135024650909423
mel2,Ti,0.9894263729760391,0.9902899544533763,-0.0008635814773372275
mel2,y,-0.9705127395999458,-0.9739338662071094,0.0034211266071636492
mel2,C_star,0.9427825594324796,0.9376472441170167,0.005135315315462852
mel3,L,0.9181726947359073,0.9180113554325792,0.00016133930332817847
mel3,h,0.9994904328831927,0.9978526137012477,0.001637819181945055
mel3,Si,0.9935488559567772,0.9981095798311488,-0.004560723874371564
mel3,Zn,1.0037621440497293,0.9984494693067204,0.005312674743008894
mel3,Mn,0.9523394373807637,0.9546423091466001,-0.002302871765836434
mel3,K,0.9862077253392028,0.9860076812962766,0.00020004404292617295
mel3,Ti,0.9880936339694976,0.9916404649929489,-0.0035468310234513245
mel3,y,-0.9947191183857518,-0.9945395212356724,-0.00017959715007942467
mel3,C_star,0.8280594375032435,0.8283090009058162,-0.0002495634025726501
mel4,L,0.8562435927972398,0.8694864528252522,-0.013242860028012338
mel4,h,0.9859941370411626,0.9842732660746312,0.001720870966531396
mel4,Si,0.9823395587652439,0.9848832398497255,-0.0025436810844815527
mel4,Zn,1.0045345769219345,0.999421873525272,0.005112703396662477
mel4,Mn,1.0038715253394963,0.9871974227631162,0.016674102576380134
mel4,K,0.9510963133143436,0.9526283200261433,-0.0015320067117996494
mel4,Ti,0.9884474980867048,0.9851032561632689,0.0033442419234359644
mel4,y,-0.9926815417867758,-0.9981140830428449,0.005432541256069068
mel4,C_star,0.8055112454750893,0.7964599388218944,0.00905130665319498
mel5,L,0.940164014236832,0.9404372541738104,-0.00027323993697836446
mel5,h,0.9995936574015265,0.9932072480875163,0.006386409314010244
