n_rho,n_y,delta_rho,delta_y,solve_seconds,relative_l2_to_next,maximum_absolute_to_next
41,21,0.2,0.05,0.009711300022900105,0.031155351540782108,0.09956763894594345
81,41,0.1,0.025,0.03685200004838407,0.018920643751284105,0.08863639571059956
161,81,0.05,0.0125,0.14850350003689528,0.0102852315392201,0.06219708139563451
321,161,0.025,0.00625,0.6546837000641972,,
