variable,missing-values,missing-percent
Rotation length,72,17.02127659574468
Rotation diversity,72,17.02127659574468
B16S_pcoa1,66,15.602836879432624
B16S_pcoa2,66,15.602836879432624
ITS_pcoa1,66,15.602836879432624
ITS_pcoa2,66,15.602836879432624
