community,features,mean-zero-rate,median-sample-sum,minimum-sample-sum,maximum-sample-sum
bacterial,885,0.7088138264481576,0.9064318899999999,0.751192866,0.952015356
fungal,706,0.8016662313570275,0.8874323000000003,0.6522634220000003,0.986173563
