feature-set,model,outer-fold,inner-mae,best-parameters
conventional-plus-taxa,gradient-boosting,3,1085.6358927029644,"{'feature-screen__k': 500, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-taxa,gradient-boosting,4,1044.949890554734,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-taxa,gradient-boosting,5,1088.5590155600148,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-taxa,naive-mean,1,,{}
conventional-plus-taxa,naive-mean,2,,{}
conventional-plus-taxa,naive-mean,3,,{}
conventional-plus-taxa,naive-mean,4,,{}
conventional-plus-taxa,naive-mean,5,,{}
conventional-plus-taxa,random-forest,1,1100.372030668109,"{'feature-screen__k': 250, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 5}"
conventional-plus-taxa,random-forest,2,1147.7858772832567,"{'feature-screen__k': 100, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
conventional-plus-taxa,random-forest,3,1084.9198517319164,"{'feature-screen__k': 250, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
conventional-plus-taxa,random-forest,4,1065.5396268563063,"{'feature-screen__k': 500, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
conventional-plus-taxa,random-forest,5,1081.8768495897814,"{'feature-screen__k': 250, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 5}"
conventional,random-forest,1,1027.4492444776183,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
conventional,random-forest,2,1123.5006585904823,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
conventional,random-forest,3,1006.7785416093558,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 5}"
conventional,random-forest,4,976.5311627550396,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
conventional,random-forest,5,1027.759998885667,"{'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 5}"
integrated,elastic-net,1,1140.0439248179007,"{'feature-screen__k': 250, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.5}"
integrated,elastic-net,2,1178.5395208416985,"{'feature-screen__k': 100, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.9}"
integrated,elastic-net,3,1140.538406046594,"{'feature-screen__k': 250, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.9}"
integrated,elastic-net,4,1149.1398212786276,"{'feature-screen__k': 100, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.5}"
integrated,elastic-net,5,1092.911391266562,"{'feature-screen__k': 100, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.9}"
