feature-set,model,folds,mae-mean,mae-std,rmse-mean,rmse-std,r2-mean,r2-std,r2-min,r2-max,overall-best,mae-reduction-vs-naive,mae-reduction-percent
conventional,random-forest,5,1011.6048279465191,159.04974570440956,1359.0535375806999,177.3547221570224,0.24846813973251783,0.05556125192866105,0.186132049381455,0.3239762876332763,True,213.6493473955744,17.437145018169236
conventional-plus-summaries,random-forest,5,1019.7153609033805,151.97191322048488,1366.9430101182568,168.44437224669474,0.23904391385032678,0.04374842305670813,0.1926072323221923,0.2922301211560154,False,205.53881443871296,16.775198042587864
conventional-plus-taxa,gradient-boosting,5,1053.3216167634646,92.0582606281444,1418.1381569985726,106.63445085507101,0.17251538325693438,0.07099269224712293,0.064845399689984,0.2537987219551587,False,171.9325585786289,14.032399320787867
integrated,gradient-boosting,5,1055.9519384131459,94.01318905588474,1420.335479540391,108.33980648033474,0.17011308136154796,0.07029857906825616,0.0649582111054913,0.2553904563593854,False,169.30223692894765,13.81772372917465
taxonomic-composition,random-forest,5,1137.6515608513348,123.5770393819976,1481.9028187470717,123.80694182733906,0.09889339163806266,0.05362247618804892,0.0285248170418302,0.1638798214037713,False,87.6026144907587,7.149750333746046
microbial-summaries,random-forest,5,1147.4593128327847,135.09723005019097,1493.7030964417431,142.31457334144704,0.08731024178513647,0.02029491598754261,0.0553018336556589,0.1102217143194073,False,77.79486250930881,6.349283607834948
