statistic,grams-per-metre
observations,423.0
mean,3774.9172687304963
standard-deviation,1576.708566196843
min,159.44
5%,1589.4
25%,2650.5
50%,3588.952786
75%,4618.625
95%,6563.599999999999
max,10977.77938
