community,taxa,zero-percent,median-prevalence,taxa-prevalence-10pct,median-row-sum
bacterial,885,70.88138264481574,0.13711583924349882,497,0.9064318899999999
fungal,706,80.16662313570275,0.06619385342789598,300,0.8874323000000003
