feature-set,model,folds,mae-mean,mae-std,rmse-mean,rmse-std,r2-mean,r2-std,r2-min,r2-max
conventional,random-forest,5,1011.6048279465191,159.04974570440956,1359.0535375806999,177.3547221570224,0.24846813973251783,0.05556125192866105,0.186132049381455,0.3239762876332763
conventional,elastic-net,5,1014.8313685377989,121.39248167614224,1367.7399386077414,158.9075476099393,0.23652932694294254,0.0515920171326047,0.1466255812066675,0.2764485613914965
conventional-plus-summaries,random-forest,5,1019.7153609033805,151.97191322048488,1366.9430101182568,168.44437224669474,0.23904391385032678,0.04374842305670813,0.1926072323221923,0.2922301211560154
conventional,gradient-boosting,5,1020.5804386441138,120.96651478797405,1374.0475002630526,132.83978548159487,0.22541256134429583,0.0679652926573136,0.1371669331751296,0.2889215332976558
conventional-plus-taxa,gradient-boosting,5,1053.3216167634646,92.0582606281444,1418.1381569985726,106.63445085507101,0.17251538325693438,0.07099269224712293,0.064845399689984,0.2537987219551587
integrated,gradient-boosting,5,1055.9519384131459,94.01318905588474,1420.335479540391,108.33980648033474,0.17011308136154796,0.07029857906825616,0.0649582111054913,0.2553904563593854
conventional-plus-summaries,elastic-net,5,1058.140352265919,101.87280208302008,1406.164527890769,123.0269892704656,0.18945047259423622,0.04020879109152963,0.1298991656865524,0.2268555841792737
conventional-plus-taxa,random-forest,5,1063.2972325770966,105.21626251979592,1403.598364001052,109.79747829537915,0.19003691381015486,0.06448886762275723,0.0873529671493545,0.255702642298853
conventional-plus-summaries,gradient-boosting,5,1070.817628986935,87.45076068343614,1420.6740566243805,95.6931798000843,0.16630323368200314,0.10252561364768371,-0.0013056349564828,0.2673157106896051
integrated,random-forest,5,1071.3293771740653,105.26517580782284,1412.0463852685766,119.71669203077596,0.18138909052892743,0.05818436285570591,0.0971551472712949,0.2390472434947131
taxonomic-composition,random-forest,5,1137.6515608513348,123.5770393819976,1481.9028187470717,123.80694182733906,0.09889339163806266,0.05362247618804892,0.0285248170418302,0.1638798214037713
microbial-summaries,random-forest,5,1147.4593128327847,135.09723005019097,1493.7030964417431,142.31457334144704,0.08731024178513647,0.02029491598754261,0.0553018336556589,0.1102217143194073
integrated,elastic-net,5,1151.2678380920893,125.69337789324734,1470.959782563134,131.1790171693227,0.11370618276630476,0.032748769002421366,0.0638132578305626,0.1466181727889877
conventional-plus-taxa,elastic-net,5,1153.3181251280214,119.61573478233491,1472.9454490460762,124.22925589349943,0.11038403909851639,0.04099110259900032,0.0431416689717947,0.1451890986912432
taxonomic-composition,gradient-boosting,5,1153.7158969204704,114.34334956553985,1510.8498609827807,105.62849089267279,0.0590644308954366,0.09564140734317085,-0.0831608101068748,0.17175472460881
microbial-summaries,elastic-net,5,1163.1083859372895,142.32349966318364,1505.8969965140127,152.71307234810303,0.07348832324302887,0.012595498190904332,0.0634794678023084,0.0937303381891365
taxonomic-composition,elastic-net,5,1163.2977330644774,98.95896062096949,1490.7368077487627,111.74675538803865,0.08646365081673454,0.06563181614635993,-0.025623627071736,0.1477114973397756
microbial-summaries,gradient-boosting,5,1204.6594125513184,145.66461700535086,1553.4790904366744,138.6171363366062,0.010325132210800139,0.061418501385815366,-0.0721340295136887,0.0929309808780839
conventional,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
conventional-plus-summaries,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
conventional-plus-taxa,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
integrated,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
microbial-summaries,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
taxonomic-composition,naive-mean,5,1225.2541753420933,139.3779534591885,1570.5139317545518,163.7473461565971,-0.00708938120873818,0.007579816770143473,-0.019001812696608,-0.0003565231682332
