sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
mel57,melange,target,4868.08,106655.4,210569.2,13480.96,8686.23,4851.6,851.51,50396.61,43.38,46.8,128.86,89.62,49.44512636,4.5652505,17.05495163,17.65543458,75.01426807,0.375262658,0.377187243,0.247550099,42.37844897,3.598276761,10.98270418,15.21515539,20.21838606,0.221533489,0.501006967
mel58,melange,target,4496.52,97011.92,209893.4,12921.33,8885.71,4632.12,778.23,47649.37,34.4,31.76,121.03,90,45.88655391,4.150779054,15.04038241,15.60281209,74.5712751,0.371484334,0.374073987,0.25444168,38.96936656,3.179179171,9.518806346,13.36495931,17.60340494,0.220271631,0.499066537
mel59,melange,target,3854.01,83586.4,178274.1,10479.83,8707.05,3985.62,804.81,47393.58,52.47,36.44,134.62,94.84,42.80440837,3.957976464,13.43856814,14.00993683,73.57010979,0.36872733,0.371235138,0.260037532,36.09853502,2.955264375,8.365074937,12.07586628,15.49039955,0.219565843,0.497383248
mel60,melange,target,3304.51,111444.4,204553.3,12252.92,6081.78,4181.49,678.34,48910.14,47.94,33.65,120.66,75.26,52.24435755,6.15103632,20.23112508,21.14560759,73.08875968,0.385338994,0.381958281,0.232702724,45.12520279,4.973971619,13.01451901,19.27399777,23.78919803,0.226242833,0.504581006
mel61,melange,target,5241.59,107480,212421.2,13501.03,9221.97,4966.08,963.2,51392.85,33.49,43.92,127.16,89.76,50.57646161,4.697598529,17.87560988,18.48259969,75.27663991,0.37688988,0.378617959,0.24449216,43.48065569,3.735309257,11.55459409,15.89709445,21.25394516,0.222038356,0.501876944
mel62,melange,target,4720.83,94675.35,210172.7,13107.28,9588.57,4684.88,747.92,47812.17,43.03,45.38,122,96.53,44.49738405,4.039080728,14.62607736,15.17363177,74.55954034,0.371182295,0.37385238,0.254965324,37.66502077,3.058762204,9.160433794,12.89892854,16.9915471,0.220160029,0.498923338
mel63,melange,target,4150.8,83168.45,183837.2,10379.3,9764.74,4433.33,926.4,50815.32,48.96,35.89,132.94,102.35,40.05225454,4.039367785,12.91364999,13.53078495,72.62766034,0.369846243,0.371157744,0.258996013,33.5899512,2.948050829,7.83848902,11.70228481,14.56014331,0.220336635,0.497515389
mel64,melange,target,3617.33,122516.7,219636,12898.8,5460.54,4169.84,606.64,48546.18,50.8,19.66,112,67.75,55.22904961,6.775615887,21.99856311,23.01843225,72.87956656,0.388467306,0.383756172,0.227776522,48.11742972,5.60429253,14.34945731,21.33009301,26.04067606,0.227568379,0.505819241
mel65,melange,target,4931.87,109112.6,213199.2,14440.21,9463.54,5006.33,975.26,52279.68,48.49,41.01,129.05,92.14,51.86391621,4.817279607,18.37812358,18.99908878,75.31084763,0.377398477,0.379016843,0.24358468,44.74813279,3.867545909,11.97667975,16.4195745,21.9631908,0.222214549,0.502126762
mel66,melange,target,4805.78,95642.43,217084.1,13506.6,9907.47,4771.2,738.65,47253.85,41.94,40.05,129.39,96.79,43.99787288,3.864873096,14.02229841,14.54521662,74.58851536,0.369260095,0.372517815,0.258222089,37.19838126,2.913278764,8.788476445,12.32985417,16.29671171,0.219415728,0.498040884
mel67,melange,target,4060.22,77977.76,178809.9,9603.79,10035.7,4483.37,933.46,50728.24,55.22,38.32,144.6,100.79,37.46787642,4.175951206,12.53504129,13.21235427,71.57380526,0.371588595,0.371368691,0.257042714,31.29426121,2.980875494,7.412882041,11.46819385,13.79300493,0.221405754,0.4978686
mel68,melange,target,3997.12,116506.2,218613.7,12972.15,6049.32,4207.49,656.5,48989.33,49.53,31.88,116.35,73.62,55.15666992,6.448548861,21.58122818,22.52439157,73.36553426,0.386706728,0.383184054,0.230109218,48.04465243,5.325149781,14.11752161,20.638232,25.64043086,0.226647949,0.505312731
mel69,melange,target,5021.24,106700.4,213717,14293.12,9202.24,4831.72,863.93,50197.09,42.6,46.4,122.29,88.78,51.37887918,4.736659611,18.13769043,18.74597982,75.36407693,0.376980216,0.378775634,0.24424415,44.26892675,3.788676358,11.78937767,16.14703948,21.64606968,0.222035599,0.501959417
mel70,melange,target,4329.3,91271.8,197644.6,12298.59,8334.24,4425.51,673.96,45418.69,54.26,31.93,128.94,92.3,46.4619007,4.299492566,15.47055266,16.056975,74.46981059,0.372647762,0.374797334,0.252554904,39.51272802,3.309984397,9.809307878,13.82703238,18.12571074,0.220753879,0.499561501
mel71,melange,target,5295,98382.63,199935.3,13473.11,9329.55,4773.14,910.13,48976.45,43.68,49.69,127.02,92.34,48.92652555,4.306498877,16.45805562,17.01216476,75.33687178,0.373354248,0.376153856,0.250491896,41.87419916,3.378242538,10.60191385,14.51819311,19.53712034,0.220686547,0.500268216
mel72,melange,target,4750.01,83820.1,188398.9,11940.76,9515.33,4496.02,777.59,45199.79,51.75,32.99,130.1,100.79,43.05500435,3.735257313,13.40690644,13.91757868,74.4303067,0.367792386,0.371333323,0.260874291,36.32452368,2.792502085,8.370121871,11.78190468,15.52632055,0.218910486,0.497290588
mel73,melange,target,4585.77,79042.29,176562.7,10314.21,9822.71,4515.01,953.15,49586.45,58.11,37.62,128.84,97.13,39.66018631,3.891843553,12.51688961,13.10809625,72.72833119,0.368473955,0.370309268,0.261216777,33.24237611,2.828459912,7.594966632,11.28215798,14.105782,0.219761765,0.496927855
mel74,melange,target,3581.83,110110.7,205695.2,12265.52,6236.52,4089.61,639.83,48513.23,45.25,41.82,126.01,75.55,51.4192262,5.644067814,18.91144794,19.73636057,73.37717398,0.38128854,0.379599713,0.239111747,44.31083483,4.529427598,12.21201829,17.82511887,22.33104275,0.224531265,0.502957166
mel75,melange,target,4692.91,93818.21,208993.1,12527.33,9699.32,4724.89,724.21,48260.15,47.19,44.62,138.95,98.79,43.10649398,3.934441405,13.82794214,14.3768082,74.11744914,0.369652409,0.372363994,0.257983597,36.37196785,2.944959382,8.600577212,12.25792012,15.95908326,0.219734824,0.498030069
mel76,melange,target,4369.02,89287.47,191777.9,9959.83,8870.78,4273.86,848.5,49960.75,43.35,45.49,132.46,97.21,40.41884415,4.29239813,13.66937467,14.32755803,72.56664422,0.372774865,0.373069477,0.254155658,33.91991796,3.145828914,8.264470507,12.42965922,15.37268989,0.221517813,0.498808993
mel77,melange,target,3815.97,116622.8,210480.9,12979.76,6070.18,4150.64,715.06,49758.09,46.76,41.85,119.62,74.33,53.94373315,6.352369256,20.72517303,21.67697024,72.95480287,0.385433373,0.381870373,0.232696254,46.82299985,5.20119691,13.49648712,19.96491744,24.53968671,0.226338618,0.504555503
mel78,melange,target,5398.6,102416,202992.5,13093.72,9010.6,4786.81,910.42,51158.93,40.82,33.09,132.17,88.1,49.58500158,4.672813424,17.23519849,17.85741711,74.83069837,0.375923575,0.377465578,0.246610847,42.51417342,3.688205378,11.09535097,15.46606588,20.41569195,0.22185754,0.501227323
mel79,melange,target,3607.11,75908.74,157862.5,9094.18,7813.29,3822.72,810.98,45819.26,48.24,37.87,122.24,89.18,41.04644988,4.283669803,13.81090398,14.46025095,72.76789692,0.372594401,0.373131915,0.254273684,34.49002649,3.155686755,8.397142203,12.54074266,15.60899203,0.2213739,0.498810141
mel80,melange,target,3508.07,114491.4,199974.6,12283.47,4807.86,4081.05,627.12,47691.44,41.52,27.05,114.29,70.21,56.87209881,7.553396833,23.13869694,24.34041754,71.92090885,0.391478169,0.38449136,0.22403047,49.79170521,6.331525734,15.18433644,23.19744155,27.37618444,0.229238003,0.506580406
mel81,melange,target,4538.02,108426.1,208032.1,14370.64,8834.67,4886.72,993.28,51329.67,37.62,110.56,113.9,92.31,53.85946572,5.210848216,19.63650059,20.31617022,75.13858764,0.37992505,0.380615137,0.239459814,46.73605744,4.248251474,12.90242023,17.76881016,23.55846633,0.223238078,0.503197997
mel82,melange,target,2881.04,109621.8,199889.5,12031.74,4832.2,3864.15,564.67,46125.46,40.92,32.17,113.29,67.84,55.62673384,6.968479446,22.31985285,23.38250099,72.66283154,0.389343508,0.384051872,0.226604619,48.52084801,5.78253087,14.57401892,21.80883545,26.41121971,0.228021517,0.506075881
mel83,melange,target,4290.43,94286.61,213354.4,13467.72,9139.13,4813.31,704.15,46653.16,49.02,47.63,131.95,93.1,45.03098734,3.911237058,14.2221122,14.75045874,74.6202451,0.369081683,0.372419579,0.258498738,38.16320758,2.973025738,8.993610465,12.57107133,16.63662904,0.219336655,0.497970442
mel84,melange,target,2967.71,116684.6,207221.3,12422.58,5012.77,3975.86,642.44,49459.71,48.98,32.57,109.05,67.6,54.70776537,7.126120836,22.40083072,23.50705675,72.35424071,0.390870602,0.384648759,0.224480639,47.59129445,5.88074614,14.48773606,21.99144685,26.32134571,0.228778371,0.506557743
mel85,melange,target,4073.06,79098.55,177478.9,9153.69,9450.73,4393.13,988.46,51897.45,50.1,44.84,133.1,99.92,37.68801003,4.272207588,12.79413757,13.48886403,71.52708979,0.372578112,0.371981605,0.255440283,31.48751783,3.056774213,7.562329609,11.73444421,14.07569974,0.221817079,0.498290026
mel86,melange,target,4774.16,105781.3,208401.7,14281.34,9560.65,4912.52,978.71,51179.39,40.9,50.67,116.52,91.5,52.43655379,4.672194858,18.26609307,18.85416921,75.65249649,0.376219358,0.378536714,0.245243929,45.31536707,3.764600162,11.98223661,16.20405293,21.94380455,0.221631242,0.501742046
mel87,melange,target,5218.48,94422.19,212742,13320.39,9844.56,4918.58,748.56,46916.06,63.23,37.68,135.32,101.46,44.31788118,3.817407115,14.06405101,14.57292689,74.81411235,0.368978711,0.372521739,0.258499551,37.49581966,2.884320258,8.840791387,12.31087627,16.39079862,0.21922879,0.498001246
mel88,melange,target,5155.92,103199.6,202728.3,13430.69,8960.31,4730.16,898.38,48594.28,38.54,36.45,131.19,86.6,51.40845147,4.727431065,18.13504432,18.74110075,75.38924051,0.376925065,0.378762656,0.244312279,44.29856153,3.781931526,11.79128525,16.13484479,21.64863788,0.222004522,0.50194549
mel89,melange,target,4422.61,74684.18,169784.9,9246.86,9824.67,4333.2,971.44,49006.48,41.17,33.49,129.68,100.63,37.30754865,4.135681997,12.45650109,13.12519852,71.63188588,0.371363192,0.371272732,0.257364077,31.1544922,2.9471647,7.359165081,11.36351457,13.69600573,0.221294969,0.497792399
mel90,melange,target,4669.71,89646.4,209852.9,12864.17,9940.02,4614.48,718.33,45736.42,51.48,30.15,131.14,99.9,43.05725481,3.722154006,13.29329194,13.80460367,74.35819213,0.367387484,0.370980325,0.26163219,36.32669239,2.782564147,8.308813457,11.70922186,15.40344902,0.218780891,0.497071204
mel91,melange,target,3710.09,66244.01,152357.5,8569.24,9219.79,4022.32,911.27,48786.91,40.26,40.19,133.93,103.14,36.32584495,4.239871094,12.45061068,13.15293895,71.19281197,0.372735936,0.371766586,0.255497478,30.29785256,2.995752423,7.268736264,11.4004676,13.53685164,0.222007758,0.498218411
mel92,melange,target,4297.69,111369.8,202886.6,13248.85,6769.79,4353.58,757.3,48990.08,53.24,39.03,119.61,76.23,55.62306873,6.382523277,21.57044522,22.49516999,73.51908019,0.38605519,0.382937623,0.231007187,48.51692351,5.286429906,14.17520416,20.57968714,25.71283774,0.226320849,0.505110019
mel93,melange,target,3957.17,104957,210241.8,12499.22,7265.99,4387.32,640.78,47416.4,44.12,35.66,132.45,83.19,48.98669562,5.034682758,17.51777881,18.22705038,73.9687684,0.378207368,0.378144376,0.243648256,41.93254504,3.961371657,11.17915544,16.06354199,20.57602574,0.223087308,0.501863584
mel94,melange,target,3760.95,101845.5,198085.7,11064.48,7326.82,4252.68,778.14,50890.94,45.6,38.94,116.74,84.22,47.46656562,4.660198405,15.99303072,16.65844856,73.75629081,0.37423767,0.375197306,0.250565024,40.4760928,3.619410672,10.19412273,14.66258175,18.76311239,0.22164198,0.499974222
mel95,melange,target,5379.02,105151.9,220781.6,14092.89,9735.13,4961.22,850.36,49190.61,34.27,32.19,134.11,96.21,47.98448722,4.083422394,15.78224943,16.30199372,75.49426392,0.371647976,0.375079376,0.253272648,40.96640805,3.178075308,10.13463729,13.80167052,18.70621623,0.219986234,0.499539142
mel96,melange,target,4660.56,91020.36,191771.2,12096.95,10091.88,4654.48,1000.39,51918.33,34.93,35.78,132.16,102.61,42.67062995,4.004854777,13.97702457,14.53949343,74.01110103,0.370735707,0.373022529,0.256241763,35.97159869,2.988060149,8.63891938,12.38889154,16.05311043,0.220190426,0.498485161
mel97,melange,target,4168.66,85475.44,199187.1,11530.76,10040.84,4781.37,813.79,48717.78,44.61,42.58,136.63,102.69,39.94365199,3.853491417,12.69874818,13.27058824,73.11879465,0.368688594,0.370801729,0.260509677,33.49322436,2.807563541,7.716569828,11.34476028,14.34741843,0.219711062,0.497183302
