sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
FNS_735A,source_F,source,1532.97,77889.84,188792.5,15322.71,5159.09,2712.03,338.03,32982.07,44.49,32.09,105.7,67.81,40.31300854,4.762626146,13.78509956,14.58535871,70.93471867,0.374616601,0.372740942,0.252642457,33.82461025,3.493887901,8.313461439,13.10173021,15.39774966,0.222864538,0.498934284
FNS_736,source_D,source,5000.86,100134.2,221418.6,12623.33,8649.69,5499.76,619.9,42998.09,48.94,39.74,138.44,76.46,47.42329065,2.837995466,11.54657242,11.89023474,76.19070976,0.356174727,0.364206664,0.279618609,40.42847281,2.189382755,7.675553532,9.936415037,14.02963201,0.213978687,0.492309166
FNS_737,source_D,source,5329.62,64513.72,199298.5,13002.9,20248.5,4496.58,997.51,40521.76,44.61,71.2,196.63,116.8,35.99907254,3.457636963,10.20540746,10.7753574,71.28300157,0.362368387,0.365042673,0.27258894,30.01293833,2.427392307,6.090392927,9.319817329,11.26062554,0.217776506,0.493613642
FNS_738,source_F,source,3975.28,71753.95,150954.5,8552.43,10573.87,3631.87,956.01,45246.3,66.4,53.9,185.39,119.97,36.92536112,4.096874529,12.20730408,12.87668834,71.44001379,0.370756039,0.370705744,0.258538218,30.82070017,2.908820028,7.198327991,11.16015128,13.38845808,0.221116304,0.497445067
FNS_739,source_D,source,6331.67,79969.83,194026,12004.92,10920.11,4701.82,648.52,46882.48,61.88,98.55,130.08,104.74,46.83632678,3.236320813,14.00496647,14.37405313,76.98835449,0.365124712,0.371626191,0.263249097,39.86868415,2.48901699,9.041401075,11.67543385,16.72907497,0.217036727,0.49702813
FNS_740,source_D,source,4746.66,80913.42,221439.2,11617.28,7079.63,4129.56,631.42,48732.08,48.54,32.42,132.85,88.63,54.71742797,5.241839424,20.42515512,21.08705549,75.60632244,0.381310139,0.382124685,0.236565176,47.5997877,4.29923828,13.43901428,18.27264603,24.54580182,0.223547935,0.504057421
FNS_743,source_PF,source,6570.86,86928,221153.2,13010.97,10013.54,5201.42,740.58,51264.68,47.48,42.85,133.46,102.29,42.64859804,2.894817335,11.2660014,11.63353069,75.61117873,0.358879539,0.365788269,0.275332192,35.95237467,2.148863047,7.155093332,9.581620428,13.23406934,0.215163419,0.493439623
FNS_858,source_F,source,3031.24,87344.27,161393.4,8564.46,6061.67,4724.3,664.7,53306.66,46.68,56.13,137.65,77.75,39.96405639,6.480217679,17.43818194,18.60355147,69.61116198,0.392332924,0.382163967,0.225503109,33.51421746,4.773687985,10.06652551,17.07908944,18.7850198,0.230739998,0.505708439
FNS_859,source_PF,source,4111.12,114263.7,197158.7,13928.77,8333.94,4511.63,1093.13,50775.51,37.54,14.46,124.13,79.4,47.08498171,4.705702366,16.64812584,17.30064493,74.21544085,0.376665373,0.377346352,0.245988276,40.10591384,3.645500508,10.50466005,15.01446337,19.42453964,0.222391205,0.501284747
FNS_860,source_F,source,4444.42,47002.64,148431.1,8042.22,20540.92,3916.96,1877.35,44959.96,48.92,54.63,171.51,154.65,31.37324901,3.252047209,7.770229432,8.423346921,67.29044204,0.356432337,0.358533609,0.285034055,26.09837701,2.180243382,4.512452348,7.545362418,8.211137881,0.216362237,0.489685343
