false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.05,0.9996677179825842
0.0,0.15,0.9996519451119218
0.0,0.75,0.9700509685502904
0.0005428881650380022,0.75,0.9441018869762411
0.0005428881650380022,0.85,0.9095909784036529
0.0010857763300760044,0.85,0.8727892314076777
0.0010857763300760044,0.9,0.8618618851958084
0.002171552660152009,0.9,0.6040427631375911
0.002171552660152009,0.95,0.5159553835284678
0.0027144408251900108,0.95,0.5110565434655647
0.0027144408251900108,1.0,0.5081522689689915
0.017915309446254073,1.0,0.013598788382006228
0.019001085776330078,1.0,0.012439577791446887
0.026601520086862108,1.0,0.008922065757405829
0.02768729641693811,1.0,0.008588732424072496
0.033659066232356136,1.0,0.0060872562369495035
0.035830618892508145,1.0,0.005953587713453922
0.041802388707926165,1.0,0.003917326481567967
0.04288816503800217,1.0,0.003711381860669252
0.04723127035830619,1.0,0.0029843092265358657
0.048317046688382194,1.0,0.0028358939599337253
0.05266015200868621,1.0,0.0026587502817218838
0.054831704668838216,1.0,0.0025987144727542383
0.05646036916395222,1.0,0.002572852403788721
0.05863192182410423,1.0,0.0024766985576348743
0.0988056460369164,1.0,0.0024273452956424216
0.0998914223669924,1.0,0.0023699800190894542
0.10532030401737243,1.0,0.0023548992830317514
0.10586319218241043,1.0,0.002244338276454026
0.10749185667752444,1.0,0.002198969560250048
0.10857763300760044,1.0,0.0018864695602500484
0.11074918566775244,1.0,0.0016797145455612276
0.11183496199782844,1.0,0.0012254118679423556
0.11346362649294245,1.0,0.0010531362269167147
0.11509229098805646,1.0,0.0009406565656565656
0.11617806731813246,1.0,0.0009107142857142856
0.11672095548317046,1.0,0.0008422256097560977
0.11889250814332247,1.0,0.000744047619047619
0.11943539630836048,1.0,0.0007323232323232323
0.12052117263843648,1.0,0.0005952380952380952
0.12160694896851248,1.0,0.000375
0.1248642779587405,1.0,0.0002941176470588235
0.1254071661237785,1.0,0.00020658263305322128
0.12866449511400652,1.0,0.00017857142857142857
0.13409337676438654,1.0,0.00016666666666666666
0.14169381107491857,1.0,0.00010869565217391303
0.14386536373507058,1.0,5.9523809523809524e-05
1.0,1.0,0.0
