theta,rho,y,surface_charge_density
0.0,0.0,1.0,-2.1891825960119
0.010506998841437435,0.005253402759468097,0.9999724009977419,-2.1891063694532638
0.02101399768287487,0.010506225564237708,0.9998896070377872,-2.1892852530257967
0.031520996524312304,0.015757888523635032,0.9997516272602589,-2.1901113491260626
0.04202799536574974,0.02100781187502857,0.9995584768975734,-2.1914369606227257
0.05253499420718718,0.026255416047832603,0.9993101772727602,-2.1915579358525985
0.06304199304862461,0.031500121727489463,0.9990067557971067,-2.1906037032350283
0.07354899189006205,0.03674134991942357,0.9986482459671331,-2.190657227587221
0.08405599073149948,0.041978522012960116,0.9982346873608936,-2.1921577679732787
0.09456298957293692,0.047211059845201346,0.997766125633608,-2.19441013831218
0.10506998841437436,0.052438385764853476,0.9972426125126208,-2.196102476228265
0.1155769872558118,0.05765992269599706,0.9966642057916915,-2.1982562943207835
0.12608398609724922,0.06287509420179388,0.9960309693246134,-2.1961039982791095
0.13659098493868665,0.0680833245481233,0.9953429730181653,-2.1921122044246304
0.1470979837801241,0.07328403876714093,0.9946002928243939,-2.190794251379529
0.15760498262156153,0.07847666272075289,0.9938030107322283,-2.19331629383039
0.16811198146299897,0.0836606231639983,0.9929512147584296,-2.196465511499057
0.1786189803044364,0.08883534780833323,0.992044998937874,-2.20068702449448
0.18912597914587384,0.09400026538480911,0.9910844633131712,-2.205683352708739
0.19963297798731128,0.09915480570713853,0.9900697139236209,-2.2016161986693237
0.21013997682874871,0.10429839973464149,0.9890008627935056,-2.1951945353872557
0.22064697567018615,0.10943047963506526,0.9878780279197246,-2.19383793847376
0.2311539745116236,0.11455047884727082,0.9867013332587666,-2.198398888095523
0.24166097335306103,0.11965783214377888,0.985470908713026,-2.2024803505618094
0.25216797219449844,0.12475197569316879,0.9841868901164622,-2.2034526831908297
0.2626749710359359,0.12983234712232328,0.9828494192196037,-2.20381440959798
0.2731819698773733,0.13489838557851214,0.9814586436738997,-2.2024298342109585
0.2836889687188108,0.1399495317913082,0.9800147170154199,-2.2024572136282865
0.2941959675602482,0.14498522813432854,0.9785177986479048,-2.2052417545466096
0.30470296640168565,0.15000491868679422,0.9769680538251679,-2.2101739045703592
0.31520996524312306,0.1550080492949016,0.9753656536328528,-2.2156383322648936
0.3257169640845605,0.15999406763299895,0.9737107749695455,-2.2092882184451423
0.33622396292599793,0.16496242326456073,0.9720036005272459,-2.2028735687617873
0.34673096176743534,0.16991256770295377,0.9702443187711991,-2.2039188817258695
0.3572379606088728,0.174843954471988,0.9684331239190899,-2.2089469715578076
0.3677449594503102,0.17975603916624502,0.9665702159196012,-2.2139769185681595
0.3782519582917477,0.18464827951117863,0.9646558004303418,-2.219362330568279
0.3887589571331851,0.18952013542297946,0.9626900887951411,-2.2229356032405287
0.39926595597462256,0.19437106906819837,0.9606732980207184,-2.2195534179683496
0.40977295481605996,0.19920054492312073,0.9586056507527265,-2.216709060080861
0.42027995365749743,0.2040080298328865,0.9564873752511718,-2.218797202401881
0.43078695249893484,0.20879299307034813,0.9543187053652156,-2.2256995080952886
0.4412939513403723,0.2135549063946609,0.9520998805073583,-2.2331032550539507
0.4518009501818097,0.21829324410959836,0.949831145627009,-2.2297211527606913
0.4623079490232472,0.22300748312158739,0.9475127511834438,-2.2244228455165755
0.4728149478646846,0.2276971029974554,0.945144953118157,-2.2225934723048026
0.48332194670612205,0.23236158602188428,0.9427280128266049,-2.228652326455253
0.49382894554755946,0.23700041725456386,0.94026219712935,-2.236085794170205
0.5043359443889969,0.2416130845870395,0.937747778242604,-2.2390877702597507
0.5148429432304343,0.24619907879924677,0.9351850337481773,-2.2368519501139823
0.5253499420718718,0.2507578936157271,0.9325742465628342,-2.2328564065599985
0.5358569409133092,0.25528902576151885,0.9299157049070603,-2.2360805137713626
0.5463639397547466,0.2597919750177168,0.9272097022732443,-2.2421623885041955
0.5568709385961841,0.2642662442766941,0.9244565373932774,-2.247084028578066
0.5673779374376215,0.2687113395969813,0.9216565142055744,-2.248479862637673
0.5778849362790589,0.27312677025779514,0.9188099418215208,-2.248956475022582
0.5883919351204964,0.2775120488132126,0.9159171344913468,-2.24807223806154
0.5988989339619338,0.2818666911459828,0.9129784115694368,-2.2485393013045365
0.6094059328033713,0.2861902165209712,0.909994097479073,-2.2503391066167415
0.6199129316448087,0.29048214763823155,0.9069645216766207,-2.2579104261560294
0.6304199304862461,0.29474201068569744,0.9038900186151574,-2.2653490706383286
0.6409269293276836,0.2989693353914895,0.900770927707551,-2.26730207909751
0.651433928169121,0.30316365507583126,0.8976075932889894,-2.2668996988648944
