,count,mean,std,min,25%,50%,75%,max,skewness
customer_profit,6206.0,505.4017,3879.1653,-55895.3119,296.2834,805.8001,1406.9758,24595.8475,-7.7054
calibration_revenue,6206.0,10448.243,47361.5644,1.374,2049.0982,2181.5625,3578.27,640042.6211,7.8868
calibration_cost,6206.0,9942.8412,49572.8364,0.8565,1251.9813,1554.9479,2171.2942,695937.933,8.0157
profit_margin,6206.0,0.3332,0.1345,-0.9425,0.2872,0.3822,0.3932,0.626,-3.0521
