Cluster,Segment,customers,total_constructed_clv,total_predicted_clv,avg_customer_profit,avg_constructed_clv,avg_predicted_clv,avg_residual,churn_rate,discount_rate
6,Declining Frequent Buyers,1395,107174804.6295,107242606.2127,760.6715,76827.8169,76876.4202,-48.6033,0.0,0.01
0,Active Minimal Buyers,1767,17843361.5112,17843502.0378,1420.5087,10098.1106,10098.1902,-0.0795,0.0,0.1637
4,Frequent Low-Spend Customers,928,9655763.3049,9680883.4025,750.4946,10404.9174,10431.9864,-27.0691,0.0,0.0777
1,High Value but Cooling,454,5176010.33,5158492.4512,1258.9942,11400.9038,11362.3182,38.5856,0.0,0.1241
2,Inactive Minimal Buyers,686,1905665.1754,1905024.4209,259.2889,2777.9376,2777.0035,0.934,0.0,0.1029
8,Recent Low-Value Customers,609,1677969.2148,1677836.8864,281.5156,2755.2861,2755.0688,0.2173,0.0,0.1138
5,Champions,41,8909.5663,9425.7877,23.7967,217.3065,229.8973,-12.5908,0.0,0.123
7,Lost Customers,53,-3781824.2608,-3754081.6096,-9307.1967,-71355.1747,-70831.7285,-523.4462,0.0,0.15
3,Inactive Low-Value Customers,273,-4994269.2977,-5062555.2497,-5713.2015,-18294.0267,-18544.1584,250.1317,0.2381,0.1079
