n_topics,mean_reconstruction_error,stability,term_diversity,npmi_coherence,retained_for_interpretation
4,87.63235888473875,0.8970228568939246,0.875,0.15473191898357727,False
5,87.39321894600077,0.8920771094608154,0.85,0.17356441557236066,True
6,87.20035978004131,0.8765104390577491,0.8472222222222222,0.17426880035242576,False
7,87.0150372053934,0.906964602120577,0.8690476190476191,0.1724599153404248,False
8,86.84617859180901,0.8782509049882578,0.8333333333333334,0.16116794000722223,False
