topic,topic_label,actionability,reviews,products,negative_share,median_dominant_topic_share,dominant_assignment_share,negative_share_difference_pp
0,Product did not work as expected,high,1243,1117,0.7570394207562349,0.670331063343517,0.09572583750481324,4.252267065996995
3,Limited durability or staying power,high,1122,1010,0.7308377896613191,0.669081959425043,0.08640739314593762,1.6321039565054152
2,Poor value for money,high,705,661,0.9475177304964539,0.6762419512950628,0.05429341547939931,23.300098040018902
4,Hair-product quality concerns,medium,1739,1471,0.7078780908568143,0.6936535199916322,0.13392375818251828,-0.6638659239450617
1,General dissatisfaction (residual),low,8176,6259,0.687133072407045,0.864538574885702,0.6296495956873316,-2.73836776892199
