recall,precision,threshold
1.0,0.010741138560687433,0.0
1.0,0.07017543859649122,5.9523809523809524e-05
1.0,0.0711743772241993,0.00010869565217391303
1.0,0.072992700729927,0.00014705882352941175
1.0,0.0749063670411985,0.00016666666666666666
1.0,0.07782101167315175,0.00017857142857142857
1.0,0.0796812749003984,0.00020658263305322128
1.0,0.08,0.0002941176470588235
1.0,0.08097165991902834,0.0003645833333333333
1.0,0.08196721311475409,0.000375
1.0,0.0823045267489712,0.00041666666666666664
1.0,0.08264462809917356,0.0005952380952380952
1.0,0.08333333333333333,0.0007323232323232323
1.0,0.08368200836820083,0.000744047619047619
1.0,0.08438818565400844,0.0007918470418470419
1.0,0.0851063829787234,0.0008422256097560977
1.0,0.08547008547008547,0.0009107142857142856
1.0,0.08620689655172414,0.0009406565656565656
1.0,0.08733624454148471,0.0010531362269167147
1.0,0.08771929824561403,0.001069161867942356
1.0,0.0881057268722467,0.0011286630036630037
1.0,0.08849557522123894,0.0012254118679423556
1.0,0.08928571428571429,0.0016797145455612276
1.0,0.09090909090909091,0.0018864695602500484
1.0,0.091324200913242,0.0021776723267817617
1.0,0.09174311926605505,0.002198969560250048
1.0,0.09302325581395349,0.002244338276454026
1.0,0.09345794392523364,0.0023548992830317514
1.0,0.09803921568627451,0.0023699800190894542
1.0,0.09852216748768473,0.0023988151187639677
1.0,0.09900990099009901,0.0024273452956424216
1.0,0.15625,0.0024766985576348743
1.0,0.15873015873015872,0.002523815118763968
1.0,0.16129032258064516,0.002572852403788721
1.0,0.1652892561983471,0.0025987144727542383
1.0,0.16666666666666666,0.0026053639846743294
1.0,0.16806722689075632,0.002631769728809202
1.0,0.1694915254237288,0.002657167223822447
1.0,0.17094017094017094,0.0026587502817218838
1.0,0.17699115044247787,0.0027302934201226593
1.0,0.1834862385321101,0.0028358939599337253
1.0,0.18691588785046728,0.0029843092265358657
1.0,0.18867924528301888,0.003050806240635479
1.0,0.19047619047619047,0.0030615942902127114
1.0,0.19230769230769232,0.0031132957362673386
1.0,0.1941747572815534,0.003226698557634875
1.0,0.19607843137254902,0.003256423413539163
1.0,0.19801980198019803,0.0032639090118806143
1.0,0.2,0.003287388351087201
1.0,0.20202020202020202,0.003711381860669252
1.0,0.20618556701030927,0.003917326481567967
1.0,0.20833333333333334,0.004249083598510638
1.0,0.21052631578947367,0.004549999210559556
1.0,0.2127659574468085,0.00472333022748545
1.0,0.21505376344086022,0.004918670916642519
1.0,0.21739130434782608,0.0050233115713029675
1.0,0.21978021978021978,0.005128213676432649
1.0,0.2222222222222222,0.005449987557083956
1.0,0.2247191011235955,0.005541670824457236
1.0,0.22727272727272727,0.005595729250816603
1.0,0.22988505747126436,0.005804561571302967
1.0,0.23255813953488372,0.005953587713453922
1.0,0.23809523809523808,0.006038968067565804
1.0,0.24390243902439024,0.0060872562369495035
1.0,0.24691358024691357,0.006250062072428281
1.0,0.25,0.006553370895957693
1.0,0.25316455696202533,0.006625267581203897
1.0,0.2564102564102564,0.006671528561073808
1.0,0.2597402597402597,0.006862691498882793
1.0,0.2631578947368421,0.006985481508321584
1.0,0.26666666666666666,0.007813407758747783
1.0,0.2702702702702703,0.007831961715529613
1.0,0.273972602739726,0.007995884097041002
1.0,0.2777777777777778,0.008507222035819773
1.0,0.28169014084507044,0.008588732424072496
1.0,0.2898550724637681,0.008922065757405829
1.0,0.29411764705882354,0.009106805293004769
1.0,0.29850746268656714,0.009256113960020207
1.0,0.30303030303030304,0.009363871512510821
1.0,0.3076923076923077,0.009562604344635593
1.0,0.3125,0.009587853575862261
1.0,0.31746031746031744,0.009724193300342198
1.0,0.3225806451612903,0.010055735350444546
1.0,0.32786885245901637,0.010445730322750481
1.0,0.3333333333333333,0.01084087880499043
1.0,0.3389830508474576,0.010964748705493277
1.0,0.3448275862068966,0.011270104486249514
1.0,0.3508771929824561,0.011436771152916183
1.0,0.35714285714285715,0.011856351572496602
1.0,0.36363636363636365,0.012439577791446887
1.0,0.37735849056603776,0.013598788382006231
1.0,0.38461538461538464,0.013754929652769723
1.0,0.39215686274509803,0.013790892899832121
1.0,0.4,0.014870999070367607
1.0,0.40816326530612246,0.015243477985413272
1.0,0.4166666666666667,0.01584169474892292
1.0,0.425531914893617,0.01586163893686479
1.0,0.43478260869565216,0.016413084983680302
1.0,0.4444444444444444,0.02017546386723151
1.0,0.45454545454545453,0.020814151933551156
1.0,0.46511627906976744,0.0259254369677909
1.0,0.47619047619047616,0.03748213602702768
1.0,0.4878048780487805,0.042063445305124875
1.0,0.5,0.06743394724529866
1.0,0.5128205128205128,0.0795109025633947
1.0,0.5263157894736842,0.0909543679658372
1.0,0.5405405405405406,0.09163990709755453
1.0,0.5555555555555556,0.09825441757413918
1.0,0.5714285714285714,0.10050380638093152
1.0,0.5882352941176471,0.10652298618620742
1.0,0.6060606060606061,0.10798834515289352
1.0,0.625,0.10883992734813525
1.0,0.6451612903225806,0.10896492734813525
1.0,0.6666666666666666,0.11363914016253622
1.0,0.6896551724137931,0.17471053357521205
1.0,0.7142857142857143,0.17565513379607836
1.0,0.7407407407407407,0.24305786139786864
1.0,0.7692307692307693,0.2676848327002993
1.0,0.8,0.5081522689689916
0.95,0.7916666666666666,0.511056543465565
0.95,0.8260869565217391,0.5159553835284678
0.9,0.8181818181818182,0.6040427631375911
0.9,0.8571428571428571,0.857407363062932
0.9,0.9,0.8618618851958084
0.85,0.8947368421052632,0.8727535171219634
0.85,0.9444444444444444,0.9095909784036529
0.75,0.9375,0.9441018869762411
0.75,1.0,0.9700509685502904
0.7,1.0,0.9730417136994853
0.65,1.0,0.9901485432975385
0.6,1.0,0.9917019706899507
0.55,1.0,0.9921454674325666
0.5,1.0,0.9933361434952578
0.45,1.0,0.9955463151548345
0.4,1.0,0.9980257113032284
0.35,1.0,0.9993771337805177
0.3,1.0,0.9994255999800731
0.25,1.0,0.9995474590340813
0.2,1.0,0.9996263056024621
0.15,1.0,0.9996519451119218
0.05,1.0,0.9996677179825842
0.0,1.0,
